year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),hill time (s),hill captures,hill defends,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,eUnited,Arcitys,W,250,24,13,11,1.85,34.5,18.7,7,0,0,0,0,21,55,202,27.2,14,391.0,27.9,65,0,2,5,0,0,2,0,0,0,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,eUnited,Clayster,W,250,23,13,10,1.77,33.1,18.7,11,1,0,0,0,19,79,310,25.5,14,391.0,27.9,72,0,0,2,0,0,0,0,1,1,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,eUnited,Prestinni,W,250,21,16,5,1.31,30.2,23.0,8,0,0,0,0,16,75,345,21.7,17,384.9,22.6,68,0,2,3,1,0,3,0,0,0,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,eUnited,Silly,W,250,15,10,5,1.5,21.6,14.4,9,0,0,0,0,12,62,255,24.3,11,397.1,36.1,123,0,3,3,0,0,0,0,1,0,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,Evil Geniuses,Aches,L,41,9,20,-11,0.45,12.9,28.8,5,0,0,1,0,5,39,185,21.1,21,376.8,17.9,3,0,0,0,0,0,0,0,0,0,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,Evil Geniuses,Apathy,L,41,13,22,-9,0.59,18.7,31.7,6,0,0,0,1,8,53,351,15.1,24,369.8,15.4,0,0,0,1,0,0,0,0,0,0,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,Evil Geniuses,Enable,L,41,16,20,-4,0.8,23.0,28.8,5,4,0,0,0,11,74,298,24.8,20,375.4,18.8,13,0,0,3,0,0,0,0,0,0,0
2018,dallas,84948098-de5c-5da6-bc95-7b9e91643a75,pool-D-5,2017-12-08 20:12:08 UTC,417.0,Hardpoint,Sainte Marie du Mont,Evil Geniuses,Nameless,L,41,14,21,-7,0.67,20.1,30.2,6,1,0,0,0,5,67,242,27.7,22,374.6,17.0,31,0,0,2,0,0,0,0,0,0,0
2018,dallas,4ad674d8-eb95-58b0-99a6-906cb3d77dca,pool-B-4,2017-12-08 20:14:26 UTC,567.0,Hardpoint,Sainte Marie du Mont,Ground Zero,Blazt,L,130,18,26,-8,0.69,19.0,27.5,4,0,0,0,0,11,57,248,23.0,27,514.4,19.1,32,0,0,1,0,0,0,0,0,0,0
2018,dallas,4ad674d8-eb95-58b0-99a6-906cb3d77dca,pool-B-4,2017-12-08 20:14:26 UTC,567.0,Hardpoint,Sainte Marie du Mont,Ground Zero,Fero,L,130,22,26,-4,0.85,23.3,27.5,11,2,0,2,0,14,70,242,28.9,27,506.9,18.8,91,0,3,3,0,0,0,0,0,0,0
