,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
32,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Epsilon,Dqvee,,2,5,7,-2,0.71,7.4,10.3,0,0,0,0,0,3,15,78,19.2,8,304.9,38.1,8,1,2,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
33,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Epsilon,Hawqeh,,2,6,8,-2,0.75,8.8,11.8,0,0,0,0,0,4,22,78,28.2,8,263.1,32.9,8,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
34,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Epsilon,Nathan,,2,4,6,-2,0.67,5.9,8.8,1,0,0,0,0,4,22,124,17.7,8,312.9,39.1,8,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
35,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Epsilon,Vortex,,2,4,7,-3,0.57,5.9,10.3,1,0,0,0,0,4,18,75,24.0,8,218.7,27.3,8,0,5,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
36,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Luminosity Gaming,JKap,,6,1,6,-5,0.17,1.5,8.8,4,0,0,0,0,1,14,65,21.5,8,248.8,31.1,8,1,1,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Luminosity Gaming,John,,6,10,4,6,2.5,14.7,5.9,4,1,0,0,0,8,31,103,30.1,8,269.0,33.6,8,3,0,4,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
38,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Luminosity Gaming,Octane,,6,12,4,8,3.0,17.7,5.9,1,3,0,0,0,10,31,118,26.3,8,347.1,43.4,8,3,0,4,0,0,1,0,3,1,1,1,0,1,0,1,0,0,0,0
39,2018,dallas,a6185d12-3133-5a48-aa52-b4407f94bfd8,pool-B-2,2017-12-08 20:29:00 UTC,407.0,Search & Destroy,Ardennes Forest,Luminosity Gaming,Slacked,,6,5,5,0,1.0,7.4,7.4,4,0,0,0,0,3,30,181,16.6,8,368.6,46.1,8,0,0,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
40,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,eUnited,Arcitys,,6,8,6,2,1.33,7.5,5.6,0,0,0,0,0,5,21,80,26.2,10,520.1,52.0,10,1,1,4,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0
41,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,eUnited,Clayster,,6,2,10,-8,0.2,1.9,9.4,1,0,0,0,0,1,11,56,19.6,10,212.9,21.3,10,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
42,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,eUnited,Prestinni,,6,10,5,5,2.0,9.4,4.7,3,0,0,0,0,10,39,114,34.2,10,497.9,49.8,10,2,0,5,4,4,0,0,5,1,1,0,1,0,0,0,0,0,0,0
43,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,eUnited,Silly,,6,7,7,0,1.0,6.6,6.6,1,0,0,0,0,6,28,131,21.4,10,524.0,52.4,10,0,1,3,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0
44,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,Evil Geniuses,Aches,,4,10,8,2,1.25,9.4,7.5,3,1,0,0,0,10,38,143,26.6,10,506.8,50.7,10,1,1,2,1,1,0,0,3,2,1,0,1,0,0,0,0,0,0,0
45,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,Evil Geniuses,Apathy,,4,4,6,-2,0.67,3.7,5.6,1,1,0,0,0,3,19,105,18.1,10,483.5,48.4,10,2,1,4,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
46,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,Evil Geniuses,Enable,,4,5,7,-2,0.71,4.7,6.6,2,0,0,0,0,2,19,91,20.9,10,447.6,44.8,10,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
47,2018,dallas,43ea6117-139d-56f0-9586-1e3772ed1090,pool-D-5,2017-12-08 20:30:01 UTC,641.0,Search & Destroy,London Docks,Evil Geniuses,Nameless,,4,9,6,3,1.5,8.4,5.6,3,1,0,0,0,9,33,142,23.2,10,518.6,51.9,10,4,1,4,0,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0
48,2018,dallas,b81cda11-e0b7-5019-9dac-24a5a6ad7611,pool-B-4,2017-12-08 20:33:37 UTC,331.0,Search & Destroy,London Docks,Ground Zero,Blazt,,6,5,4,1,1.25,9.1,7.3,0,0,0,0,0,5,17,61,27.9,6,153.8,25.6,6,2,1,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
49,2018,dallas,b81cda11-e0b7-5019-9dac-24a5a6ad7611,pool-B-4,2017-12-08 20:33:37 UTC,331.0,Search & Destroy,London Docks,Ground Zero,Fero,,6,9,2,7,4.5,16.3,3.6,2,0,0,0,0,9,25,78,32.1,6,250.7,41.8,6,0,1,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
50,2018,dallas,b81cda11-e0b7-5019-9dac-24a5a6ad7611,pool-B-4,2017-12-08 20:33:37 UTC,331.0,Search & Destroy,London Docks,Ground Zero,Parasite,,6,6,2,4,3.0,10.9,3.6,0,0,0,0,0,5,8,19,42.1,6,275.9,46.0,6,0,1,4,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0
51,2018,dallas,b81cda11-e0b7-5019-9dac-24a5a6ad7611,pool-B-4,2017-12-08 20:33:37 UTC,331.0,Search & Destroy,London Docks,Ground Zero,Study,,6,4,2,2,2.0,7.3,3.6,1,1,0,0,0,4,14,57,24.6,6,235.5,39.2,6,0,1,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
52,2018,dallas,b81cda11-e0b7-5019-9dac-24a5a6ad7611,pool-B-4,2017-12-08 20:33:37 UTC,331.0,Search & Destroy,London Docks,Team Vitality,Malls,,0,1,6,-5,0.17,1.8,10.9,0,0,0,0,0,1,6,14,42.9,6,245.2,40.9,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,2018,dallas,b81cda11-e0b7-5019-9dac-24a5a6ad7611,pool-B-4,2017-12-08 20:33:37 UTC,331.0,Search & Destroy,London Docks,Team Vitality,Riskin,,0,3,6,-3,0.5,5.4,10.9,0,0,0,0,0,2,16,49,32.7,6,204.9,34.2,6,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
